4088, 133504, 18353, 684, 124, 15340, 42, 211, -285,
4111, 133408, 18165, 560, 36, 15176, 31, 211, -286,
4136, 133568, 18480, 700, 112, 15100, 50, 215, -264,
4159, 133504, 18353, 616, 0, 15316, 41, 166, -275,
4180, 133520, 18374, 592, 80, 15144, 36, 217, -262,
4202, 133544, 18437, 624, 100, 15296, 31, 217, -281,
4225, 133448, 18248, 656, 112, 15036, 32, 204, -281,
4246, 133488, 18311, 696, 64, 15124, 42, 202, -248,
4269, 133544, 18437, 672, 144, 15164, 62, 200, -282,
4290, 133504, 18353, 648, 92, 15148, 59, 220, -280,
4312, 133480, 18311, 728, 124, 15240, 50, 200, -269,
4334, 133528, 18395, 616, 80, 15060, 58, 158, -265,
4360, 133544, 18437, 700, 32, 15192, 46, 209, -285,
4382, 133624, 18608, 596, 148, 15148, 45, 172, -288,
4404, 133504, 18353, 716, 76, 15088, 69, 152, -268,
4425, 133512, 18374, 740, 92, 15268, 42, 152, -271,
4448, 133456, 18248, 640, 180, 15180, 43, 167, -264,
4469, 133560, 18459, 628, 52, 15436, 55, 197, -289,
4491, 133408, 18165, 572, 136, 15156, 41, 185, -268,
4513, 133400, 18144, 648, 96, 15120, 56, 171, -292,
4535, 133520, 18374, 680, 100, 15224, 43, 179, -271,
4561, 133480, 18311, 752, 108, 15340, 45, 193, -282,
4583, 133440, 18227, 772, 92, 15212, 38, 206, -297,
4604, 133448, 18248, 696, 36, 15216, 53, 157, -260,
4627, 133456, 18248, 664, 48, 15124, 61, 187, -261,
4648, 133488, 18311, 728, 40, 15216, 35, 161, -261,
4670, 133504, 18353, 744, 88, 14904, 47, 198, -263,
4692, 133536, 18416, 680, 44, 15112, 37, 182, -281,
4714, 133568, 18480, 732, 144, 15196, 38, 198, -263,
4736, 133536, 18416, 676, 60, 15328, 58, 174, -259,
4758, 133584, 18523, 592, 72, 15228, 49, 205, -267,
4784, 133496, 18332, 672, 60, 15180, 18, 207, -248,
4806, 133464, 18269, 708, 72, 15236, 71, 190, -250,
4828, 133576, 18501, 764, 96, 15132, 47, 218, -283,
4849, 133584, 18523, 656, 24, 15212, 42, 189, -250,
4872, 133616, 18587, 736, -8, 15104, 40, 179, -252,
4893, 133520, 18374, 616, 124, 15120, 40, 185, -258,
4915, 133544, 18437, 840, 80, 15204, 37, 188, -273,
4937, 133528, 18395, 744, 144, 15092, 38, 182, -264,
4959, 133560, 18459, 704, 44, 15140, 24, 197, -275,
4980, 133600, 18544, 636, 8, 15376, 46, 185, -286,
5007, 133488, 18311, 712, 72, 15116, 64, 184, -283,
